title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
Tommib,Squarepusher,abstract,2001,2021‑04‑05,90,14,35,-16,9,4,79,95,3,47
Transmission 01,Wojciech Golczewski,epicore,2016,2021‑04‑05,127,67,37,-12,10,3,203,25,4,43
1983 - Main Theme,Sinoia Caves,spacewave,2014,2021‑04‑05,137,32,29,-15,15,3,200,0,3,41
White Cyclosa,Boards of Canada,ambient,2013,2021‑04‑05,139,29,85,-15,6,36,193,20,19,37
The Nightshift,Symmetry,synthwave,2011,2021‑04‑05,86,24,44,-19,11,9,52,20,5,36
The Escape Ship (From Doomsday Vault Original Game Soundtrack),Jeremy Cullen,,2020,2021‑03‑22,160,32,46,-16,12,22,186,44,3,36
Wanna Fight,Cliff Martinez,soundtrack,2013,2021‑04‑05,180,40,40,-16,14,12,290,73,4,36
The Price of Failure,Perturbator,cyberpunk,2012,2021‑04‑05,79,27,7,-9,8,4,381,81,4,34
Transmission 13,Wojciech Golczewski,epicore,2018,2021‑04‑05,135,26,44,-15,11,8,164,62,4,31
Aftermath,Magic Sword,synthwave,2020,2021‑03‑10,117,6,38,-19,11,3,151,72,4,30
Fractals,Djimmee Music,,2021,2021‑04‑01,136,55,60,-11,33,22,262,60,3,30
Aurus - Ambient Mix,Dom Capuano,,2021,2021‑03‑05,67,10,35,-18,13,7,414,87,5,29
Peaceful Morning,Waveshaper,spacewave,2019,2021‑04‑01,170,36,27,-11,12,17,64,96,5,28
Union of Worlds,Majeure,berlin school,2015,2021‑04‑05,124,38,26,-12,10,3,546,76,3,27
Closed Circuit,Kaitlyn Aurelia Smith,ambient,2016,2021‑04‑05,127,32,29,-20,15,3,325,83,5,26
Flashback,Night Raptor,spacewave,2017,2021‑04‑05,66,26,20,-15,6,4,240,96,4,25
The Oh of Pleasure - Remastered,Ray Lynch,new age,1998,2021‑04‑05,103,30,27,-18,11,6,322,35,4,24
A New World,Martin Ahm Nielsen,synthwave,2015,2021‑04‑05,180,29,20,-18,9,8,226,5,4,24
Last Farewell,Tonebox,dark clubbing,2016,2021‑04‑05,105,20,35,-20,11,3,164,91,4,24
Mono No Aware,Hello Meteor,synthwave,2017,2021‑04‑05,100,25,44,-23,12,4,216,95,4,24
Aiden's Weird Experience,Jason Brandt,,2021,2021‑03‑14,82,31,30,-17,12,4,102,23,4,24
3 Minutes to Sleep,Raf21,,2021,2021‑03‑19,138,5,16,-29,10,3,192,84,4,23
Sky At Night,Lucy In Disguise,synthwave,2016,2021‑04‑05,128,66,28,-13,10,3,120,68,4,22
Dreamers and Misfits,Paul Haslinger,epicore,2019,2019‑08‑02,116,12,63,-28,9,7,188,3,7,22
Synthetic Sunset,Fabrizio Brugnera,modular synth,2020,2020‑12‑08,86,32,9,-12,21,3,288,77,4,21
